ref,transcription,orthography,translation,translation_ru
dẑʷ,zaˈdẑʷə,заджвы́,one person,один человек
dẑʷ,dẑʷdẑʷə,джвджвы,saliva,слюна
dẑʷ,ħadẑʷ,хIаджв,stack,скирда
ŝʷ,ŝʷaˈɾa,швара́,you,вы
ŝʷ,alaɾŝʷaˈɾa,аларшвара́,to turn on,"завестись (о человеке, двигателе, сигарете)"
ŝʷ,ˈaŝʷa,а́шва,song,песня
ŝʷ,ɡʷlaŝʷ,гвлашв,indifferent,"слепое сердце, безразличный"
ŝʷ,ˈɟaŝʷa,гьа́шва,orphaned,осиротевший
ŝʷ,k’aŝʷaˈɾa,кIашвара́,to fall,падать
ŝʷ,kʷɾəŝʷ,кврышв,patch,заплатка
ŝʷ,laŝʷ,лашв,blind,слепой
ŝʷ,maɾatʰaˈŝʷaɾtʰa,мараташва́рта,west,запад
ŝʷ,nabˈʁaŝʷ,набгъа́шв,one year old foal,годовалый жеребенок
ŝʷ,pʰəŝʷtʰ amamk’ʷa,пышвт ама́мкIва,without break,без перерыва
ŝʷ,wəˈdzəŝʷa,удзыш́ва,green,зеленый
ŝʷ,wəˈnaŝʷa,уна́шва,advice,совет
ŝʷ,qʰŝʷa,хъвшва,food (cooked),еда (которую кто-то готовит)
ŝʷ,ts’aˈŝʷa,цIашва́,trump card,козырь
ŝʷ,ˈŝʷabəʐ,шва́быж,very,очень
ŝʷ,ˈŝʷapχa,шва́пха,example,пример
ŝʷ,ˈŝʷaχʲa,швахьа́,Monday,понедельник
ŝʷ,ŝʷwocʰ,швуокь,gun,ружье
ŝʷ,ŝʷəɾ,швыр,fruit,фрукт
ʂ,ʂə,шы,door,дверь
ʂ,aˈʂə,ашы́,cheese,сыр
ʂ,ajˈʂa,айша́,traditional table,традиционный cтолик
ʂ,ˈajʂa,а́йша,bitter,горький
ʂ,bʐaˈʂə,бжашы́,not fully painted,недокрашеный
ʂ,ʂk’ə,шкIы,hundred,сто
ʂ,bəzˈʂa,бызша́,language,язык
ʂ,ɡʷaʂ,гваш,gate,ворота
ʂ,laˈʂan,лаша́н,time for weeding,"время, когда полят"
ʂ,mʂə,мшы,bear,медведь
ʂ,ɾʂaˈɾa,ршара́,to scare,пугать
ʂ,nəʂ,ныш,clay,глина
ʂ,tʰaɾaʂ,тара́ш,gate,калитка
ʂ,qʰʷʂə,хъвшы,medicine,лекарство
ʂ,qʰəʂ,хъыш,window,окно
ʂ,tɕaʂ,чаш,patty,пирожок
ʂ,ʂaˈʕʷə,шагIвы́,fearful,пугливый
ʂ,ʂaɡaˈla,шагала́,pack of jackal,стая шакалов
ʂ,ʂp’a,шпIа,thick,толстый (дерево)
ʂ,ʂʔa,шъа,document,документ
ʂ,ʂəɾ,шыр,animal,зверь
tŝ’ʷ,tŝ’ʷa,чIва,apple,яблоко
tŝ’ʷ,amts’tŝ’ʷaˈɾa,амцIчIвара́,to rob,"похищать, грабить"
